date,time,start,Annotation start (sec),annotation,sablefish
09/26/2019,5:00:00,5:00:13,40,5:00:53,
09/26/2019,6:00:00,6:00:23,31,6:00:54,
09/26/2019,7:00:00,7:00:03,50,7:00:53,
09/26/2019,8:00:00,8:00:11,42,8:00:53,
09/26/2019,9:00:00,9:00:02,51,9:00:53,
09/26/2019,10:00:00,10:00:17,36,10:00:53,
09/26/2019,11:00:00,11:00:15,37,11:00:52,
09/26/2019,12:00:00,12:00:04,46,12:00:50,
09/26/2019,13:00:00,13:00:07,46,13:00:53,
09/26/2019,14:00:00,14:00:17,36,14:00:53,
09/26/2019,15:00:00,15:00:03,50,15:00:53,
09/26/2019,16:00:00,16:00:19,34,16:00:53,
09/26/2019,17:00:00,17:00:13,41,17:00:54,
09/26/2019,18:00:00,18:00:25,28,18:00:53,
09/26/2019,19:00:00,19:00:08,46,19:00:54,
09/26/2019,20:00:00,20:00:01,52,20:00:53,
09/26/2019,21:00:00,21:00:01,53,21:00:54,
09/26/2019,22:00:00,22:00:15,39,22:00:54,
09/26/2019,23:00:00,23:00:02,51,23:00:53,
09/27/2019,0:00:00,0:00:14,39,0:00:53,
09/27/2019,1:00:00,1:00:09,43,1:00:52,
09/27/2019,2:00:00,2:00:17,36,2:00:53,
09/27/2019,3:00:00,3:00:18,35,3:00:53,
09/27/2019,4:00:00,4:00:06,46,4:00:52,
09/27/2019,5:00:00,5:00:04,49,5:00:53,
09/27/2019,6:00:00,6:00:13,40,6:00:53,
09/27/2019,7:00:00,7:00:15,37,7:00:52,
09/27/2019,8:00:00,8:00:22,31,8:00:53,
09/27/2019,9:00:00,9:00:15,39,9:00:54,
09/27/2019,10:00:00,10:00:03,51,10:00:54,
09/27/2019,11:00:00,11:00:10,43,11:00:53,
09/27/2019,12:00:00,12:00:21,33,12:00:54,
09/27/2019,13:00:00,13:00:16,37,13:00:53,
09/27/2019,14:00:00,14:00:01,52,14:00:53,
09/27/2019,15:00:00,15:00:18,34,15:00:52,
